genres,id,original_language,release_date,runtime,title,vote_average,director
Comedy,11374,en,3/26/1999,122,Edtv,5.7,Ron Howard
Adventure Family Fantasy,2309,en,12/11/2008,106,Inkheart,6,Iain Softley
Action Comedy Thriller Crime Science Fiction,8285,en,12/25/2008,103,The Spirit,4.7,Frank Miller
Comedy Adventure,210860,en,1/21/2015,106,Mortdecai,5.4,David Koepp
Adventure Fantasy Action Drama,2312,en,11/29/2007,127,In the Name of the King: A Dungeon Siege Tale,4.1,Uwe Boll
Drama Romance Adventure War,9839,en,10/23/2003,127,Beyond Borders,6.7,Martin Campbell
Action Adventure Fantasy,381902,zh,1/22/2016,120,The Monkey King 2,6,Soi Cheang
Action History War,13922,en,8/12/2005,132,The Great Raid,6.8,John Dahl
Action Adventure Comedy,293660,en,2/9/2016,108,Deadpool,7.4,Tim Miller
Drama Comedy,9713,en,10/8/1998,114,Holy Man,4.9,Stephen Herek
War Action,190859,en,12/11/2014,133,American Sniper,7.4,Clint Eastwood
Adventure Horror Comedy,257445,en,8/5/2015,103,Goosebumps,6.2,Rob Letterman
Comedy Fantasy Romance,9007,en,9/16/2005,95,Just Like Heaven,6.5,Mark Waters
Science Fiction Comedy Family Romance,889,en,4/28/2000,90,The Flintstones in Viva Rock Vegas,4.4,Brian Levant
Action Adventure Thriller War,1370,en,5/24/1988,102,Rambo III,5.7,Peter MacDonald
Comedy Romance Drama,4942,en,3/24/2008,114,Leatherheads,5.7,George Clooney
Comedy Western,347969,en,12/11/2015,119,The Ridiculous 6,4.9,Frank Coraci
Comedy,24438,en,12/17/2009,103,Did You Hear About the Morgans?,5.1,Marc Lawrence
Comedy,116741,en,6/7/2013,119,The Internship,6.1,Shawn Levy
Action Adventure Horror Science Fiction,35791,en,9/9/2010,97,Resident Evil: Afterlife,5.8,Paul W.S. Anderson
Drama Action Adventure History War,72431,en,1/19/2012,125,Red Tails,5.9,Anthony Hemingway
Drama Horror Mystery Thriller,1813,en,10/17/1997,144,The Devil's Advocate,7.2,Taylor Hackford
Comedy,87428,en,6/14/2012,116,That's My Boy,5.5,Sean Anders
Fantasy,8840,en,5/31/1996,103,DragonHeart,6.4,Rob Cohen
Action Comedy Crime Drama,10589,en,11/12/2004,97,After the Sunset,6,Brett Ratner
Action Fantasy Thriller,71676,en,12/10/2011,95,Ghost Rider: Spirit of Vengeance,4.7,Brian Taylor
Drama History Romance,1722,en,8/17/2001,131,Captain Corelli's Mandolin,5.5,John Madden
Action Comedy Drama Family Thriller,10022,en,3/4/2005,95,The Pacifier,5.8,Adam Shankman
Adventure Drama Action Thriller,11358,en,4/2/2004,86,Walking Tall,6,Kevin Bray
Comedy Drama Romance,13,en,7/6/1994,142,Forrest Gump,8.2,Robert Zemeckis
Comedy Music Family Fantasy Animation,6477,en,12/13/2007,92,Alvin and the Chipmunks,5.5,Tim Hill
Comedy Romance,1597,en,10/6/2000,108,Meet the Parents,6.6,Jay Roach
Adventure Animation Drama Family,10530,en,6/14/1995,81,Pocahontas,6.7,Mike Gabriel
Action Adventure Fantasy Science Fiction,1924,en,12/13/1978,143,Superman,6.9,Richard Donner
Fantasy Comedy Romance Science Fiction,9327,en,6/26/1996,95,The Nutty Professor,5.4,Tom Shadyac
Comedy Drama Romance,8488,en,2/10/2005,118,Hitch,6.4,Andy Tennant
Adventure Comedy Family Romance,10603,en,7/15/1997,92,George of the Jungle,5.4,Sam Weisman
Comedy Romance,8273,en,8/1/2003,103,American Wedding,6,Jesse Dylan
Action Drama Thriller,109424,en,10/10/2013,134,Captain Phillips,7.6,Paul Greengrass
Comedy,35056,en,4/8/2010,97,Date Night,5.9,Shawn Levy
Fantasy Comedy Family,8839,en,5/26/1995,100,Casper,6,Brad Silberling
Thriller Action Crime,156022,en,9/24/2014,132,The Equalizer,7.1,Antoine Fuqua
Comedy Drama Romance,7303,en,12/13/2002,105,Maid in Manhattan,5.6,Wayne Wang
Action Thriller Drama,8963,en,5/12/1995,116,Crimson Tide,7,Tony Scott
Drama,1402,en,12/14/2006,117,The Pursuit of Happyness,7.7,Gabriele Muccino
Thriller Drama Mystery,9315,en,9/22/2005,98,Flightplan,6.1,Robert Schwentke
Drama Thriller Crime Mystery Romance,8984,en,12/9/1994,123,Disclosure,5.9,Barry Levinson
Drama Fantasy Romance,795,en,4/10/1998,114,City of Angels,6.4,Brad Silberling
Action Crime,24,en,10/10/2003,111,Kill Bill: Vol. 1,7.7,Quentin Tarantino
Comedy,11353,en,8/12/1999,97,Bowfinger,6,Frank Oz
Action Crime Thriller,393,en,4/16/2004,136,Kill Bill: Vol. 2,7.6,Quentin Tarantino
Action Adventure Comedy,9618,en,12/22/1989,104,Tango & Cash,6.1,Andrei Konchalovsky
Fantasy Comedy,9374,en,7/30/1992,104,Death Becomes Her,6.3,Robert Zemeckis
Adventure Action Comedy Western,8584,en,5/26/2000,110,Shanghai Noon,6.2,Tom Dey
Action Adventure Drama Thriller,2320,en,3/15/1996,133,Executive Decision,5.8,Stuart Baird
Comedy Family,58224,en,6/17/2011,94,Mr. Popper's Penguins,5.7,Mark Waters
Action Adventure Fantasy,1729,en,4/18/2008,104,The Forbidden Kingdom,6.3,Rob Minkoff
Animation Comedy Family,175574,en,10/30/2013,91,Free Birds,5.7,Jimmy Hayward
Science Fiction Action Horror,8077,en,5/22/1992,114,Alien³,6.2,David Fincher
History Drama Music,8818,en,12/14/1996,134,Evita,5.9,Alan Parker
Action Thriller Crime Adventure,8195,en,9/25/1998,122,Ronin,6.7,John Frankenheimer
Adventure,10586,en,10/11/1996,109,The Ghost and the Darkness,6.4,Stephen Hopkins
Family Comedy,116149,en,11/27/2014,95,Paddington,7,Paul King
Comedy,80035,en,7/26/2012,98,The Watch,5.3,Akiva Schaffer
Drama Action Thriller Crime,10632,en,3/11/2003,94,The Hunted,6,William Friedkin
Drama Mystery Thriller,12117,en,6/4/1999,126,Instinct,6.2,Jon Turteltaub
Comedy,1792,en,12/10/2003,118,Stuck on You,5.1,Bobby Farrelly
Comedy,13260,en,2/28/2008,91,Semi-Pro,5.4,Kent Alterman
Animation Adventure Family Comedy,72197,en,3/12/2012,88,The Pirates! In an Adventure with Scientists!,6.4,Peter Lord
Crime Drama Mystery,3580,en,1/30/2008,141,Changeling,7.3,Clint Eastwood
Action Drama Science Fiction Thriller,12123,en,8/2/1996,107,Chain Reaction,5.3,Andrew Davis
Drama Mystery Thriller,9566,en,8/15/1996,116,The Fan,5.7,Tony Scott
Thriller Drama Romance,9833,en,12/8/2004,143,The Phantom of the Opera,7,Joel Schumacher
Drama History Romance,4517,en,9/9/2007,114,Elizabeth: The Golden Age,6.6,Shekhar Kapur
Action Science Fiction,8202,en,11/30/2005,93,Æon Flux,5.4,Karyn Kusama
Drama History War,16072,en,2/21/2003,214,Gods and Generals,6.1,Ronald F. Maxwell
Action Thriller Crime,34314,en,1/9/1997,100,Turbulence,5.2,Robert Butler
Comedy,19724,en,6/19/2009,107,Imagine That,5.7,Karey Kirkpatrick
Comedy Adventure Crime Family,145220,en,3/20/2014,112,Muppets Most Wanted,6.2,James Bobin
Action Adventure Comedy Family Fantasy,14623,en,7/23/2004,95,Thunderbirds,4.2,Jonathan Frakes
Drama Romance,42297,en,11/23/2010,119,Burlesque,6.9,Steve Antin
Drama,2841,fr,10/26/2004,133,A Very Long Engagement,7.1,Jean-Pierre Jeunet
Drama Romance,802,en,6/13/1962,153,Lolita,7.3,Stanley Kubrick
Action Thriller,10375,en,1/4/2002,96,D-Tox,5.3,Jim Gillespie
Fantasy Horror Action Thriller,36586,en,3/22/2002,117,Blade II,6.2,Guillermo del Toro
Drama,11321,en,12/18/2008,123,Seven Pounds,7.5,Gabriele Muccino
Action Crime Thriller,70074,en,1/31/2013,92,Bullet to the Head,5.2,Walter Hill
Crime Drama Thriller,242,en,12/24/1990,162,The Godfather: Part III,7.1,Francis Ford Coppola
Comedy Drama Romance,9621,en,10/6/2005,123,Elizabethtown,6.1,Cameron Crowe
Comedy Romance,1819,en,7/14/2006,108,"You, Me and Dupree",5.4,Anthony Russo
Action Adventure Fantasy Science Fiction,8536,en,12/4/1980,127,Superman II,6.5,Richard Lester
Drama,8046,en,8/1/2003,121,Gigli,3.5,Martin Brest
Drama Thriller,1717,en,9/10/2006,125,All the King's Men,5.7,Steven Zaillian
Action Adventure Crime Thriller,479,en,6/15/2000,99,Shaft,5.5,John Singleton
Animation Family,9444,en,11/20/1997,94,Anastasia,7.4,Gary Goldman
Drama Music Romance,824,en,3/9/2001,127,Moulin Rouge!,7.4,Baz Luhrmann
Mystery Thriller Crime,11456,en,10/30/2001,89,Domestic Disturbance,5.4,Harold Becker
Crime Drama,261023,en,9/4/2015,122,Black Mass,6.3,Scott Cooper
War Drama History,3683,en,10/18/2006,132,Flags of Our Fathers,6.7,Clint Eastwood
Drama Crime Thriller,22803,en,10/15/2009,109,Law Abiding Citizen,7.2,F. Gary Gray
Thriller Action Horror,285923,en,4/6/2007,191,Grindhouse,6.8,Robert Rodriguez
Drama Thriller,39437,en,10/16/1998,172,Beloved,5.9,Jonathan Demme
Drama Romance,1950,en,5/1/2007,124,Lucky You,5.4,Curtis Hanson
Drama Crime,640,en,12/25/2002,141,Catch Me If You Can,7.7,Steven Spielberg
Thriller Drama History,97630,en,12/19/2012,157,Zero Dark Thirty,6.7,Kathryn Bigelow
Romance Comedy,9767,en,6/1/2006,106,The Break-Up,5.6,Peyton Reed
Comedy Romance,11631,en,7/3/2008,108,Mamma Mia!,6.4,Phyllida Lloyd
Comedy Romance,32856,en,2/10/2010,125,Valentine's Day,5.7,Garry Marshall
Action Adventure Comedy,6519,en,8/5/2005,104,The Dukes of Hazzard,5.1,Jay Chandrasekhar
Drama History War,8741,en,12/25/1998,170,The Thin Red Line,7.2,Terrence Malick
Comedy,49520,en,8/5/2011,112,The Change-Up,5.9,David Dobkin
Comedy Drama Romance,1850,en,12/22/1999,118,Man on the Moon,6.9,Milo\u0161 Forman
Drama Crime,524,en,11/22/1995,178,Casino,7.8,Martin Scorsese
Action Crime Thriller,26389,en,2/5/2010,92,From Paris with Love,6.1,Pierre Morel
Action Comedy Fantasy,11817,en,3/28/2003,104,Bulletproof Monk,5.1,Paul Hunter
Comedy,2123,en,6/22/2000,116,"Me, Myself & Irene",6.1,Bobby Farrelly
Animation Comedy Family,9907,en,8/4/2006,90,Barnyard,5.3,Steve Oedekerk
Comedy Family,9969,en,11/22/2006,93,Deck the Halls,5.1,John Whitesell
Adventure Fantasy Drama Romance,18239,en,3/15/2009,130,The Twilight Saga: New Moon,5.6,Chris Weitz
Adventure Animation Comedy Family Fantasy,808,en,5/16/2001,90,Shrek,7.3,Andrew Adamson
Science Fiction Thriller Romance,38050,en,3/3/2011,106,The Adjustment Bureau,6.5,George Nolfi
Adventure,8367,en,6/14/1991,143,Robin Hood: Prince of Thieves,6.6,Kevin Reynolds
Comedy Drama Romance,9390,en,12/6/1996,139,Jerry Maguire,6.7,Cameron Crowe
Comedy Fantasy,72105,en,6/29/2012,106,Ted,6.3,Seth MacFarlane
Comedy Romance,2898,en,12/19/1997,139,As Good as It Gets,7.2,James L. Brooks
Comedy Drama,10312,en,12/25/1998,115,Patch Adams,7,Tom Shadyac
Comedy,109443,en,12/18/2013,119,Anchorman 2: The Legend Continues,6,Adam McKay
Comedy Romance,2022,en,6/28/2002,96,Mr. Deeds,5.6,Steven Brill
Thriller Science Fiction Mystery,37686,en,6/8/2011,112,Super 8,6.6,J.J. Abrams
Drama,462,en,3/17/2000,131,Erin Brockovich,7.1,Steven Soderbergh
Comedy Romance,9919,en,2/7/2003,116,How to Lose a Guy in 10 Days,6.3,Donald Petrie
Crime Comedy Action,187017,en,6/5/2014,112,22 Jump Street,7,Phil Lord
Horror Romance,628,en,11/11/1994,123,Interview with the Vampire,7.2,Neil Jordan
Comedy,10201,en,12/9/2008,104,Yes Man,6.4,Peyton Reed
Action Comedy,302699,en,6/15/2016,107,Central Intelligence,6.2,Rawson Marshall Thurber
Drama Romance,9441,en,12/25/1998,124,Stepmom,6.9,Chris Columbus
Comedy,274167,en,12/25/2015,96,Daddy's Home,5.8,Sean Anders
Fantasy Comedy Music,224141,en,12/25/2014,125,Into the Woods,5.6,Rob Marshall
Crime Drama Thriller,388,en,3/23/2006,129,Inside Man,7.3,Spike Lee
Drama Action Thriller Crime,2112,en,2/5/1999,100,Payback,6.7,Brian Helgeland
Action Adventure Drama Mystery Science Fiction,10329,en,6/9/1995,109,Congo,5,Frank Marshall
Drama Comedy Family,74465,en,12/22/2011,124,We Bought a Zoo,6.5,Cameron Crowe
Action Adventure Drama Mystery Science Fiction,13811,en,3/19/2009,121,Knowing,5.9,Alex Proyas
Comedy,6877,en,3/10/2006,97,Failure to Launch,5.5,Tom Dey
Drama Horror Thriller,10320,en,3/17/2005,110,The Ring Two,5.4,Hideo Nakata
Comedy Drama Romance,50646,en,7/29/2011,118,"Crazy, Stupid, Love.",7,Glenn Ficarra
Animation Comedy Family,8920,en,6/10/2004,80,Garfield,5.2,Peter Hewitt
Comedy Family,13673,en,11/24/2004,99,Christmas with the Kranks,5.2,Joe Roth
Drama,60308,en,9/22/2011,133,Moneyball,7,Bennett Miller
Action Drama Science Fiction Thriller,6950,en,3/10/1995,127,Outbreak,6.3,Wolfgang Petersen
Action Thriller Mystery,225574,en,1/26/2014,106,Non-Stop,6.8,Jaume Collet-Serra
Adventure Family Fantasy Science Fiction Thriller,13836,en,3/12/2009,98,Race to Witch Mountain,5.5,Andy Fickman
Action Thriller Fantasy,752,en,3/15/2006,132,V for Vendetta,7.7,James McTeigue
Action Adventure Comedy Western,6038,en,2/6/2003,115,Shanghai Knights,6,David Dobkin
Adventure Animation Comedy Family,9975,en,2/10/2006,86,Curious George,6.2,Matthew O'Callaghan
Comedy Family Adventure Fantasy Romance,11451,en,6/22/2005,101,Herbie Fully Loaded,5.1,Angela Robinson
Thriller,12103,en,9/28/2001,113,Don't Say a Word,6,Gary Fleder
Fantasy Horror Action,60304,en,1/17/2013,88,Hansel & Gretel: Witch Hunters,5.7,Tommy Wirkola
Thriller Drama,2251,en,5/10/2002,124,Unfaithful,6.3,Adrian Lyne
Action Thriller Science Fiction Adventure,46529,en,2/18/2011,109,I Am Number Four,5.9,D.J. Caruso
Drama Thriller,231,en,11/23/2005,128,Syriana,6.3,Stephen Gaghan
Action Drama History Thriller War,300671,en,1/13/2016,144,13 Hours: The Secret Soldiers of Benghazi,7,Michael Bay
Romance Animation Adventure Comedy Family,228326,en,10/1/2014,95,The Book of Life,7.3,Jorge R. Gutierrez
Thriller,9754,en,2/10/2006,105,Firewall,5.6,Richard Loncraine
Crime Drama Thriller,66,en,2/14/1997,121,Absolute Power,6.4,Clint Eastwood
Action Drama,4421,en,8/22/1997,125,G.I. Jane,6,Ridley Scott
Drama Thriller Mystery,2649,en,9/12/1997,129,The Game,7.5,David Fincher
Horror Mystery,588,en,4/21/2006,125,Silent Hill,6.3,Christophe Gans
Comedy,10393,en,8/7/2000,118,The Replacements,6.1,Howard Deutch
Comedy,71552,en,4/4/2012,113,American Reunion,6.1,Jon Hurwitz
Action Adventure Crime Drama Mystery,9631,en,7/29/1998,140,The Negotiator,6.8,F. Gary Gray
Action Thriller,216282,en,8/6/2014,89,Into the Storm,5.8,Steven Quale
Action Comedy Crime,306,en,5/24/1994,104,Beverly Hills Cop III,5.5,John Landis
Comedy Horror Fantasy,928,en,6/15/1990,106,Gremlins 2: The New Batch,6.2,Joe Dante
Drama,205587,en,10/8/2014,141,The Judge,7.2,David Dobkin
Action Thriller,6623,en,9/26/1997,124,The Peacemaker,5.8,Mimi Leder
Horror Action Science Fiction,1577,en,9/10/2004,94,Resident Evil: Apocalypse,6.1,Alexander Witt
Comedy Romance,9801,en,11/10/2004,108,Bridget Jones: The Edge of Reason,6.1,Beeban Kidron
Thriller Crime Drama,2116,en,10/3/2003,105,Out of Time,6.1,Carl Franklin
Action Thriller,9624,en,2/18/1994,102,On Deadly Ground,4.5,Steven Seagal
Adventure Family Science Fiction,14199,en,6/10/2005,92,The Adventures of Sharkboy and Lavagirl,4.4,Robert Rodriguez
Drama Adventure Romance Thriller,1907,en,2/11/2000,119,The Beach,6.3,Danny Boyle
Drama Comedy Romance,4599,en,5/27/2004,119,Raising Helen,5.9,Garry Marshall
Action Crime Thriller,22832,en,9/29/2009,99,Ninja Assassin,6.2,James McTeigue
Drama Romance,10390,en,9/17/1999,137,For Love of the Game,6.3,Sam Raimi
Drama Thriller Crime,9879,en,6/28/1996,115,Striptease,4.4,Andrew Bergman
Family Comedy,38579,en,6/4/2010,87,Marmaduke,5,Tom Dey
Drama Fantasy,44603,en,10/15/2010,129,Hereafter,5.8,Clint Eastwood
Crime Drama Thriller,11892,en,4/19/2002,120,Murder by Numbers,6,Barbet Schroeder
Action Adventure Crime Thriller,9691,en,10/6/1995,132,Assassins,6,Richard Donner
Crime Drama Thriller,1248,en,2/6/2007,121,Hannibal Rising,6,Peter Webber
Comedy Drama Romance,12220,en,10/13/1999,95,The Story of Us,5.9,Rob Reiner
Action Adventure Romance Science Fiction Thriller,72710,en,3/22/2013,125,The Host,6,Andrew Niccol
Action Drama Mystery Thriller Crime,10782,en,4/18/2003,98,Basic,6.2,John McTiernan
Crime Drama Mystery Thriller,9573,en,8/4/2002,110,Blood Work,6.1,Clint Eastwood
Drama Thriller Crime,4959,en,2/3/2009,118,The International,6,Tom Tykwer
Action Adventure Science Fiction Thriller,10061,en,8/9/1996,97,Escape from L.A.,5.6,John Carpenter
Adventure Animation Family Fantasy Science Fiction,10386,en,8/6/1999,86,The Iron Giant,7.6,Brad Bird
Adventure Comedy Drama,421,en,12/10/2004,119,The Life Aquatic with Steve Zissou,7.1,Wes Anderson
War Action Drama History Thriller,316152,en,6/24/2016,139,Free State of Jones,6.6,Gary Ross
Drama Thriller Crime,11615,en,2/21/2003,130,The Life of David Gale,7.3,Alan Parker
Comedy Action,13498,en,2/25/2005,100,Man of the House,5.4,Stephen Herek
Action Crime Drama Mystery Thriller,241554,en,3/11/2015,114,Run All Night,6.3,Jaume Collet-Serra
Thriller Crime Mystery,2252,en,9/14/2007,100,Eastern Promises,7.2,David Cronenberg
Action Thriller Adventure Crime,11968,en,9/30/2005,110,Into the Blue,5.8,John Stockwell
Adventure Drama Action History War,10047,fr,10/18/1999,148,The Messenger: The Story of Joan of Arc,6.2,Luc Besson
Comedy,38319,en,4/8/2011,102,Your Highness,5.2,David Gordon Green
Drama Thriller Mystery,69668,en,9/30/2011,84,Dream House,5.8,Jim Sheridan
Action Drama Thriller,9770,en,11/7/1997,114,Mad City,5.9,Costa-Gavras
Action Adventure Comedy Family,11212,en,7/1/1994,99,Baby's Day Out,5.8,Patrick Read Johnson
Drama History Romance,10533,en,10/13/1995,135,The Scarlet Letter,5.5,Roland Joff\u00e9
Drama Thriller,38363,en,5/20/2010,108,Fair Game,6.5,Doug Liman
Action Crime,9923,en,9/22/2005,127,Domino,6,Tony Scott
Action Thriller Mystery Romance,11863,en,10/13/1995,95,Jade,5.2,William Friedkin
Action Thriller Science Fiction,18501,en,9/3/2009,95,Gamer,5.6,Brian Taylor
Fantasy Drama Romance,109491,en,2/13/2013,124,Beautiful Creatures,5.6,Richard LaGravenese
Comedy Crime Drama Thriller,9275,en,3/28/2002,109,Death to Smoochy,5.9,Danny DeVito
Comedy,329833,en,2/6/2016,100,Zoolander 2,4.7,Ben Stiller
Comedy Crime,12634,en,1/30/2004,88,The Big Bounce,5,George Armitage
Comedy Drama Romance Science Fiction,10416,en,3/3/2000,105,What Planet Are You From?,5.4,Mike Nichols
Fantasy Thriller Action Crime,47327,en,2/24/2011,105,Drive Angry,5.3,Patrick Lussier
Action Adventure Science Fiction Thriller,15268,en,2/27/2009,97,Street Fighter: The Legend of Chun-Li,3.9,Andrzej Bartkowiak
Action Science Fiction Thriller,10796,en,11/2/2001,87,The One,5.7,James Wong
Action Comedy Thriller Crime Mystery,9548,en,7/11/1990,104,The Adventures of Ford Fairlane,6.2,Renny Harlin
Drama Comedy,18947,en,4/1/2009,116,The Boat That Rocked,7.2,Richard Curtis
Thriller Drama Crime,1900,en,12/27/2000,147,Traffic,6.9,Steven Soderbergh
Adventure Action,89,en,5/24/1989,127,Indiana Jones and the Last Crusade,7.6,Steven Spielberg
Drama Romance,96724,en,9/6/2012,130,Anna Karenina,6.5,Joe Wright
Crime Action Science Fiction,198184,en,3/4/2015,120,Chappie,6.6,Neill Blomkamp
Drama Mystery Thriller Crime,9481,en,11/4/1999,118,The Bone Collector,6.5,Phillip Noyce
Crime Drama Thriller,4547,en,3/29/2002,111,Panic Room,6.5,David Fincher
Horror,53953,de,8/8/2006,0,The Tooth Fairy,4.3,Chuck Bowman
Action Adventure Comedy,6415,en,9/27/1999,114,Three Kings,6.6,David O. Russell
Crime Thriller,181283,en,3/15/2015,137,Child 44,6.1,Daniel Espinosa
Adventure Comedy,9896,en,7/30/2001,112,Rat Race,6,Jerry Zucker
Drama Science Fiction,167,en,10/22/2001,120,K-PAX,7.1,Iain Softley
Comedy Fantasy Romance Science Fiction,11232,en,12/25/2001,118,Kate & Leopold,6,James Mangold
Fantasy Comedy Romance,1636,en,10/19/2000,93,Bedazzled,5.6,Harold Ramis
Music Drama Crime Romance,2148,en,12/14/1984,127,The Cotton Club,6.6,Francis Ford Coppola
Western,5176,en,9/6/2007,122,3:10 to Yuma,6.9,James Mangold
Thriller Action,260346,en,12/16/2014,109,Taken 3,6.1,Olivier Megaton
Romance Comedy Crime,1389,en,6/26/1998,123,Out of Sight,6.5,Steven Soderbergh
Comedy Drama Thriller,9894,en,6/10/1996,96,The Cable Guy,5.7,Ben Stiller
Drama,7504,hi,9/16/1998,101,Earth,6.6,Deepa Mehta
Adventure Action Comedy Thriller Crime,8592,en,6/15/1990,103,Dick Tracy,5.9,Warren Beatty
Drama Crime Romance,913,en,8/6/1999,113,The Thomas Crown Affair,6.6,John McTiernan
Comedy Drama Romance,11091,en,10/19/2001,132,Riding in Cars with Boys,6.5,Penny Marshall
Action Adventure Thriller War,1368,en,10/22/1982,93,First Blood,7.2,Ted Kotcheff
Drama Science Fiction Adventure Mystery,593,ru,3/20/1972,167,Solaris,7.7,Andrei Tarkovsky
Animation Comedy Family Fantasy Science Fiction,5393,en,9/14/2006,75,Happily N'Ever After,4.6,Yvette Kaplan
Drama Horror Thriller Romance,9095,en,2/23/1996,104,Mary Reilly,5.7,Stephen Frears
Comedy Romance,8874,en,6/19/1997,105,My Best Friend's Wedding,6.3,P.J. Hogan
Comedy Romance,11467,en,7/17/2001,102,America's Sweethearts,5.5,Joe Roth
Crime Mystery Thriller,320,en,5/24/2002,118,Insomnia,6.8,Christopher Nolan
Science Fiction Action Adventure Thriller,199,en,11/21/1996,111,Star Trek: First Contact,7,Jonathan Frakes
Action Western Drama Fantasy Thriller,20533,en,6/18/2010,80,Jonah Hex,4.4,Jimmy Hayward
Drama Thriller Mystery War,10684,en,7/4/1996,117,Courage Under Fire,6.2,Edward Zwick
Comedy,1624,en,3/21/1997,86,Liar Liar,6.4,Tom Shadyac
Crime Drama Thriller,325789,en,7/13/2016,127,The Infiltrator,6.6,Brad Furman
Drama History War,113464,en,5/4/1981,140,Inchon,6.5,Terence Young
Fantasy Comedy Family,888,en,5/26/1994,91,The Flintstones,5,Brian Levant
Action Crime Thriller,82675,en,9/27/2012,91,Taken 2,6.1,Olivier Megaton
Comedy,4256,en,10/24/2003,84,Scary Movie 3,5.8,David Zucker
Comedy Crime Action,1493,en,12/14/2000,111,Miss Congeniality,6.1,Donald Petrie
Action Science Fiction Adventure Comedy Family,88751,en,7/10/2008,93,Journey to the Center of the Earth,5.8,Eric Brevig
Comedy Drama Family Romance,11130,en,8/6/2004,113,The Princess Diaries 2: Royal Engagement,6,Garry Marshall
Drama Mystery Thriller Crime,9944,en,12/16/1993,141,The Pelican Brief,6.3,Alan J. Pakula
Drama Thriller Crime Mystery,10731,en,7/20/1994,119,The Client,6.4,Joel Schumacher
Drama Comedy,7350,en,12/25/2007,97,The Bucket List,7,Rob Reiner
Drama Action Thriller Crime,9869,en,6/4/1992,117,Patriot Games,6.3,Phillip Noyce
Romance Comedy,4379,en,5/13/2005,101,Monster-in-Law,5.6,Robert Luketic
Drama Thriller Crime,146233,en,9/18/2013,153,Prisoners,7.9,Denis Villeneuve
Action Crime Drama Thriller,2034,en,10/5/2001,122,Training Day,7.3,Antoine Fuqua
Comedy Family Science Fiction,926,en,12/23/1999,102,Galaxy Quest,6.9,Dean Parisot
Comedy,4248,en,7/4/2001,83,Scary Movie 2,5.4,Keenen Ivory Wayans
Comedy Family Music,64328,en,11/22/2011,103,The Muppets,6.5,James Bobin
Horror Action,36647,en,8/21/1998,120,Blade,6.5,Stephen Norrington
Drama,7214,en,1/14/2005,136,Coach Carter,7.3,Thomas Carter
Action Adventure Crime Thriller,1537,en,4/7/2002,89,Changing Lanes,5.9,Roger Michell
Adventure Horror Thriller,9360,en,4/11/1997,89,Anaconda,4.7,Luis Llosa
Comedy,6282,en,7/30/2000,100,Coyote Ugly,5.8,David McNally
Comedy Romance Drama,508,en,9/7/2003,135,Love Actually,7,Richard Curtis
Adventure Animation Comedy Family,9487,en,11/25/1998,95,A Bug's Life,6.8,Andrew Stanton
Horror Mystery Thriller,768,en,10/19/2001,122,From Hell,6.6,Albert Hughes
Action Thriller,2636,en,10/7/1994,110,The Specialist,5.5,Luis Llosa
Comedy Drama Romance,10478,en,8/16/1996,135,Tin Cup,5.9,Ron Shelton
Comedy Drama Family,27983,en,4/24/1968,111,"Yours, Mine and Ours",6.2,Melville Shavelson
Romance Comedy Family,9981,en,5/13/2005,95,Kicking & Screaming,5.6,Jesse Dylan
Adventure Comedy Family Science Fiction,7453,en,1/15/2005,109,The Hitchhiker's Guide to the Galaxy,6.6,Garth Jennings
Comedy Drama Family,15045,en,12/12/2004,93,Fat Albert,4.3,Joel Zwick
Horror Action Science Fiction,7737,en,9/20/2007,94,Resident Evil: Extinction,6.1,Russell Mulcahy
Comedy,232672,en,5/21/2014,117,Blended,6.6,Frank Coraci
Adventure Comedy Drama,17379,en,1/13/2006,112,Last Holiday,6.4,Wayne Wang
Action Adventure Crime Thriller,8987,en,9/30/1994,111,The River Wild,6.1,Curtis Hanson
Adventure Family Fantasy,11359,en,7/14/1995,96,The Indian in the Cupboard,5.9,Frank Oz
Crime Drama Thriller,82525,en,7/6/2012,131,Savages,6.2,Oliver Stone
Action Adventure Crime Thriller,9759,en,9/6/2004,94,Cellular,6.1,David R. Ellis
Adventure Action Comedy,9486,en,4/6/2003,88,Johnny English,6,Peter Howitt
Fantasy Adventure Animation Comedy Family,9906,en,7/27/2006,88,The Ant Bully,5.5,John A. Davis
Action Science Fiction Adventure,841,en,12/14/1984,137,Dune,6.5,David Lynch
Adventure Drama Music Romance,4688,en,9/14/2007,133,Across the Universe,7.1,Julie Taymor
Drama Romance,4148,en,12/19/2008,119,Revolutionary Road,6.7,Sam Mendes
Action Adventure Crime Thriller,2207,en,3/1/2006,105,16 Blocks,6.2,Richard Donner
Action Adventure Science Fiction Thriller,9381,en,8/20/2008,101,Babylon A.D.,5.4,Mathieu Kassovitz
Action Adventure Crime Drama Thriller,9625,en,10/4/1996,92,The Glimmer Man,4.7,John Gray
Comedy Fantasy Science Fiction,9304,en,7/19/1996,117,Multiplicity,5.5,Harold Ramis
Adventure Comedy Family Fantasy Science Fiction,20856,en,7/31/2009,86,Aliens in the Attic,5.3,John Schultz
Crime Drama Mystery Thriller,5955,en,1/9/2001,123,The Pledge,6.5,Sean Penn
Comedy Music,9899,en,12/25/2005,134,The Producers,6.1,Susan Stroman
Adventure Action,9826,en,6/6/1996,100,The Phantom,4.7,Simon Wincer
